DATE,VIXCLS
2013-04-22,14.39
2013-04-23,13.48
2013-04-24,13.61
2013-04-25,13.62
2013-04-26,13.61
2013-04-29,13.71
2013-04-30,13.52
2013-05-01,14.49
2013-05-02,13.59
2013-05-03,12.85
2013-05-06,12.66
2013-05-07,12.83
2013-05-08,12.66
2013-05-09,13.13
2013-05-10,12.59
2013-05-13,12.55
2013-05-14,12.77
2013-05-15,12.81
2013-05-16,13.07
2013-05-17,12.45
2013-05-20,13.02
2013-05-21,13.37
2013-05-22,13.82
2013-05-23,14.07
2013-05-24,13.99
2013-05-27,.
2013-05-28,14.48
2013-05-29,14.83
2013-05-30,14.53
2013-05-31,16.30
2013-06-03,16.28
2013-06-04,16.27
2013-06-05,17.50
2013-06-06,16.63
2013-06-07,15.14
2013-06-10,15.44
2013-06-11,17.07
2013-06-12,18.59
2013-06-13,16.41
2013-06-14,17.15
2013-06-17,16.80
2013-06-18,16.61
2013-06-19,16.64
2013-06-20,20.49
2013-06-21,18.90
2013-06-24,20.11
2013-06-25,18.47
2013-06-26,17.21
2013-06-27,16.86
2013-06-28,16.86
2013-07-01,16.37
2013-07-02,16.44
2013-07-03,16.20
2013-07-04,.
2013-07-05,14.89
2013-07-08,14.78
2013-07-09,14.35
2013-07-10,14.21
2013-07-11,14.01
2013-07-12,13.84
2013-07-15,13.79
2013-07-16,14.42
2013-07-17,13.78
2013-07-18,13.77
2013-07-19,12.54
2013-07-22,12.29
2013-07-23,12.66
2013-07-24,13.18
2013-07-25,12.97
2013-07-26,12.72
2013-07-29,13.39
2013-07-30,13.39
2013-07-31,13.45
2013-08-01,12.94
2013-08-02,11.98
2013-08-05,11.84
2013-08-06,12.72
2013-08-07,12.98
2013-08-08,12.73
2013-08-09,13.41
2013-08-12,12.81
2013-08-13,12.31
2013-08-14,13.04
2013-08-15,14.73
2013-08-16,14.37
2013-08-19,15.10
2013-08-20,14.91
2013-08-21,15.94
2013-08-22,14.76
2013-08-23,13.98
2013-08-26,14.99
2013-08-27,16.77
2013-08-28,16.49
2013-08-29,16.81
2013-08-30,17.01
2013-09-02,.
2013-09-03,16.61
2013-09-04,15.88
2013-09-05,15.77
2013-09-06,15.85
2013-09-09,15.63
2013-09-10,14.53
2013-09-11,13.82
2013-09-12,14.29
2013-09-13,14.16
2013-09-16,14.38
2013-09-17,14.53
2013-09-18,13.59
2013-09-19,13.16
2013-09-20,13.12
2013-09-23,14.31
2013-09-24,14.08
2013-09-25,14.01
2013-09-26,14.06
2013-09-27,15.46
2013-09-30,16.60
2013-10-01,15.54
2013-10-02,16.60
2013-10-03,17.67
2013-10-04,16.74
2013-10-07,19.41
2013-10-08,20.34
2013-10-09,19.60
2013-10-10,16.48
2013-10-11,15.72
2013-10-14,16.07
2013-10-15,18.66
2013-10-16,14.71
2013-10-17,13.48
2013-10-18,13.04
2013-10-21,13.16
2013-10-22,13.33
2013-10-23,13.42
2013-10-24,13.20
2013-10-25,13.09
2013-10-28,13.31
2013-10-29,13.41
2013-10-30,13.65
2013-10-31,13.75
2013-11-01,13.28
2013-11-04,12.93
2013-11-05,13.27
2013-11-06,12.67
2013-11-07,13.91
2013-11-08,12.90
2013-11-11,12.53
2013-11-12,12.82
2013-11-13,12.52
2013-11-14,12.37
2013-11-15,12.19
2013-11-18,13.10
2013-11-19,13.39
2013-11-20,13.40
2013-11-21,12.66
2013-11-22,12.26
2013-11-25,12.79
2013-11-26,12.81
2013-11-27,12.98
2013-11-28,.
2013-11-29,13.70
2013-12-02,14.23
2013-12-03,14.55
2013-12-04,14.70
2013-12-05,15.08
2013-12-06,13.79
2013-12-09,13.49
2013-12-10,13.91
2013-12-11,15.42
2013-12-12,15.54
2013-12-13,15.76
2013-12-16,16.03
2013-12-17,16.21
2013-12-18,13.80
2013-12-19,14.15
2013-12-20,13.79
2013-12-23,13.04
2013-12-24,12.48
2013-12-25,.
2013-12-26,12.33
2013-12-27,12.46
2013-12-30,13.56
2013-12-31,13.72
2014-01-01,.
2014-01-02,14.23
2014-01-03,13.76
2014-01-06,13.55
2014-01-07,12.92
2014-01-08,12.87
2014-01-09,12.89
2014-01-10,12.14
2014-01-13,13.28
2014-01-14,12.28
2014-01-15,12.28
2014-01-16,12.53
2014-01-17,12.44
2014-01-20,.
2014-01-21,12.87
2014-01-22,12.84
2014-01-23,13.77
2014-01-24,18.14
2014-01-27,17.42
2014-01-28,15.80
2014-01-29,17.35
2014-01-30,17.29
2014-01-31,18.41
2014-02-03,21.44
2014-02-04,19.11
2014-02-05,19.95
2014-02-06,17.23
2014-02-07,15.29
2014-02-10,15.26
2014-02-11,14.51
2014-02-12,14.30
2014-02-13,14.14
2014-02-14,13.57
2014-02-17,.
2014-02-18,13.87
2014-02-19,15.50
2014-02-20,14.79
2014-02-21,14.68
2014-02-24,14.23
2014-02-25,13.67
2014-02-26,14.35
2014-02-27,14.04
2014-02-28,14.00
2014-03-03,16.00
2014-03-04,14.10
2014-03-05,13.89
2014-03-06,14.21
2014-03-07,14.11
2014-03-10,14.20
2014-03-11,14.80
2014-03-12,14.47
2014-03-13,16.22
2014-03-14,17.82
2014-03-17,15.64
2014-03-18,14.52
2014-03-19,15.12
2014-03-20,14.52
2014-03-21,15.00
2014-03-24,15.09
2014-03-25,14.02
2014-03-26,14.93
2014-03-27,14.62
2014-03-28,14.41
2014-03-31,13.88
2014-04-01,13.10
2014-04-02,13.09
2014-04-03,13.37
2014-04-04,13.96
2014-04-07,15.57
2014-04-08,14.89
2014-04-09,13.82
2014-04-10,15.89
2014-04-11,17.03
2014-04-14,16.11
2014-04-15,15.61
2014-04-16,14.18
2014-04-17,13.36
2014-04-18,.
2014-04-21,13.25
2014-04-22,13.19
2014-04-23,13.27
2014-04-24,13.32
2014-04-25,14.06
2014-04-28,13.97
2014-04-29,13.71
2014-04-30,13.41
2014-05-01,13.25
2014-05-02,12.91
2014-05-05,13.29
2014-05-06,13.80
2014-05-07,13.40
2014-05-08,13.43
2014-05-09,12.92
2014-05-12,12.23
2014-05-13,12.13
2014-05-14,12.17
2014-05-15,13.17
2014-05-16,12.44
2014-05-19,12.42
2014-05-20,12.96
2014-05-21,11.91
2014-05-22,12.03
2014-05-23,11.36
2014-05-26,.
2014-05-27,11.51
2014-05-28,11.68
2014-05-29,11.57
2014-05-30,11.40
2014-06-02,11.58
2014-06-03,11.87
2014-06-04,12.08
2014-06-05,11.68
2014-06-06,10.73
2014-06-09,11.15
2014-06-10,10.99
2014-06-11,11.60
2014-06-12,12.56
2014-06-13,12.18
2014-06-16,12.65
2014-06-17,12.06
2014-06-18,10.61
2014-06-19,10.62
2014-06-20,10.85
2014-06-23,10.98
2014-06-24,12.13
2014-06-25,11.59
2014-06-26,11.63
2014-06-27,11.26
2014-06-30,11.57
2014-07-01,11.15
2014-07-02,10.82
2014-07-03,10.32
2014-07-04,.
2014-07-07,11.33
2014-07-08,11.98
2014-07-09,11.65
2014-07-10,12.59
2014-07-11,12.08
2014-07-14,11.82
2014-07-15,11.96
2014-07-16,11.00
2014-07-17,14.54
2014-07-18,12.06
2014-07-21,12.81
2014-07-22,12.24
2014-07-23,11.52
2014-07-24,11.84
2014-07-25,12.69
2014-07-28,12.56
2014-07-29,13.28
2014-07-30,13.33
2014-07-31,16.95
2014-08-01,17.03
2014-08-04,15.12
2014-08-05,16.87
2014-08-06,16.37
2014-08-07,16.66
2014-08-08,15.77
2014-08-11,14.23
2014-08-12,14.13
2014-08-13,12.90
2014-08-14,12.42
2014-08-15,13.15
2014-08-18,12.32
2014-08-19,12.21
2014-08-20,11.78
2014-08-21,11.76
2014-08-22,11.47
2014-08-25,11.70
2014-08-26,11.63
2014-08-27,11.78
2014-08-28,12.05
2014-08-29,11.98
2014-09-01,.
2014-09-02,12.25
2014-09-03,12.36
2014-09-04,12.64
2014-09-05,12.09
2014-09-08,12.66
2014-09-09,13.50
2014-09-10,12.88
2014-09-11,12.80
2014-09-12,13.31
2014-09-15,14.12
2014-09-16,12.73
2014-09-17,12.65
2014-09-18,12.03
2014-09-19,12.11
2014-09-22,13.69
2014-09-23,14.93
